"cruise"	"ship"	"ship_code"	"sample_number"	"time_UTC"	"latitude_degrees_north"	"longitude_degrees_east"	"start_temperature_degC"	"start_salinity_psu"	"start_wind_speed_knots"	"start_wind_direction_degrees"	"start_pump_speed_M3PerMin"	"stop_time_UTC"	"stop_latitude_degrees_north"	"stop_longitude_degrees_east"	"stop_temperature_degC"	"stop_salinity_psu"	"stop_wind_speed_knots"	"stop_wind_direction_degrees"	"stop_pump_speed_m3PerMin"	"sardine_eggs_count"	"anchovy_eggs_count"	"jack_mackerel_eggs_count"	"hake_eggs_count"	"squid_eggs_count"	"other_fish_eggs_count"	"comments"	"resorted"	"DateTime"	"YYYY"	"MM"	"DateEdit"	"AnchSard"	"Sard"	"Anch"	"SardAnch"
"26"	199802	"DAVID STARR JORDAN"	"JD"	5	1998-01-24 04:31:25	32.7654	-117.7112	18.067	34.004	12.37	312.0792	0.64	1998-01-24 05:00:11	32.7247	-117.7924	17.992	33.986	12.12	315.5201	0.64	0	0	NA	0	0	16	NA	"t"	1998-01-24 04:31:25	1998	"01"	"1998-01-24"	38441	0	0	0
"27"	199803	"DAVID STARR JORDAN"	"JD"	5	1998-02-19 20:29:52	32.9141	-117.5897	16.54	33.474	7.06	338.8156	0.64	1998-02-19 20:59:52	32.9703	-117.6548	16.153	33.387	8.03	125.0522	0.64	136	0	0	0	0	0	NA	"t"	1998-02-19 20:29:52	1998	"02"	"1998-02-19"	38441	136	0	68
"28"	199804	"DAVID STARR JORDAN"	"JD"	5	1998-04-03 07:31:34	32.8418	-117.5437	16.047	32.845	9.85	304.7336	0.64	1998-04-03 08:00:14	32.8016	-117.6391	15.972	32.815	9.85	304.7336	0.64	0	0	0	0	1	0	"2-larvae; 1 squid egg"	"t"	1998-04-03 07:31:34	1998	"04"	"1998-04-03"	38441	0	0	0
"29"	199806	"DAVID STARR JORDAN"	"JD"	5	1998-06-13 07:00:20	36.0316	-121.7521	15.124	32.938	12.37	264.0689	0.64	1998-06-13 07:30:20	35.9597	-121.695	15.017	32.711	9.49	284.5443	0.64	0	0	1	0	NA	0	NA	"t"	1998-06-13 07:00:20	1998	"06"	"1998-06-13"	38441	0	0	0
"30"	199805	"DAVID STARR JORDAN"	"JD"	5	1998-05-01 18:30:04	32.854	-117.7315	17.166	33.5	2.31	152.3727	0.64	1998-05-01 19:00:03	32.8914	-117.8214	17.596	33.537	3.05	170.576	0.64	0	0	NA	0	0	0	NA	"t"	1998-05-01 18:30:04	1998	"05"	"1998-05-01"	38441	0	0	0
"31"	199802	"DAVID STARR JORDAN"	"JD"	6	1998-01-24 05:00:11	32.7247	-117.7924	17.992	33.986	12.12	315.5201	0.64	1998-01-24 05:30:09	32.6805	-117.874	17.939	33.977	9.34	324.0674	0.64	0	0	NA	0	0	3	NA	"t"	1998-01-24 05:00:11	1998	"01"	"1998-01-24"	38441	0	0	0
"32"	199707	"DAVID STARR JORDAN"	"JD"	6	1997-07-02 03:49:16	32.7406	-117.7631	20.695	33.495	10.75	301.6025	0.64	1997-07-02 04:04:23	32.7181	-117.8044	20.802	33.622	11.71	302.3589	0.64	0	0	0	0	NA	0	NA	"t"	1997-07-02 03:49:16	1997	"07"	"1997-07-02"	38441	0	0	0
"33"	199803	"DAVID STARR JORDAN"	"JD"	6	1998-02-19 20:59:52	32.9703	-117.6548	16.153	33.387	8.03	125.0522	0.64	1998-02-19 21:29:52	33.025	-117.7226	16.156	33.397	9.05	102.8029	0.64	44	0	0	0	0	0	NA	"t"	1998-02-19 20:59:52	1998	"02"	"1998-02-19"	38441	44	0	22
"34"	199805	"DAVID STARR JORDAN"	"JD"	6	1998-05-01 19:00:03	32.8914	-117.8214	17.596	33.537	3.05	170.576	0.64	1998-05-01 19:30:04	32.9271	-117.9115	17.77	33.442	3.56	212.2786	0.64	0	0	NA	0	1	0	"1 se"	"t"	1998-05-01 19:00:03	1998	"05"	"1998-05-01"	38441	0	0	0
"35"	199804	"DAVID STARR JORDAN"	"JD"	6	1998-04-03 08:00:14	32.8016	-117.6391	15.972	32.815	9.85	304.7336	0.64	1998-04-03 08:30:00	32.7615	-117.7344	15.85	32.75	8.8	310	0.64	0	0	0	0	0	0	NA	"t"	1998-04-03 08:00:14	1998	"04"	"1998-04-03"	38441	0	0	0
"36"	199806	"DAVID STARR JORDAN"	"JD"	6	1998-06-13 07:30:20	35.9597	-121.695	15.017	32.711	9.49	284.5443	0.64	1998-06-13 08:01:19	35.8845	-121.6383	15.881	32.914	5.63	299.3233	0.64	0	0	4	0	NA	0	NA	"t"	1998-06-13 07:30:20	1998	"06"	"1998-06-13"	38441	0	0	0
"37"	199802	"DAVID STARR JORDAN"	"JD"	7	1998-01-24 07:21:35	32.6769	-117.8958	17.875	33.981	10.67	326.855	0.64	1998-01-24 08:00:09	32.6379	-117.9792	17.413	33.874	11.78	318.9725	0.64	2	0	NA	1	0	3	NA	"t"	1998-01-24 07:21:35	1998	"01"	"1998-01-24"	38441	2	0	1
